"Sample_ID","Series","Pos","Type","Quality","Depth","Percent_Methylated","UnMethylated","Methylated","No_call"
"103596","Rapid-CNS",131264785,"5mC",750,4,66.67,1,2,0
"103596","Rapid-CNS",131264819,"5mC",1000,4,25,3,1,0
"103596","Rapid-CNS",131264839,"5mC",1000,5,40,3,2,0
"103596","Rapid-CNS",131264845,"5mC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264876,"5mC",800,5,75,1,3,1
"103596","Rapid-CNS",131264926,"5mC",600,5,100,0,3,0
"103596","Rapid-CNS",131264948,"5mC",800,5,0,4,0,1
"103596","Rapid-CNS",131264950,"5mC",1000,5,20,4,1,0
"103596","Rapid-CNS",131264955,"5mC",800,5,25,3,1,0
"103596","Rapid-CNS",131264964,"5mC",800,5,0,4,0,1
"103596","Rapid-CNS",131264970,"5mC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264975,"5mC",1000,5,0,5,0,0
"103596","Rapid-CNS",131264985,"5mC",800,5,0,4,0,0
"103596","Rapid-CNS",131265001,"5mC",800,5,0,4,0,0
"103596","Rapid-CNS",131265005,"5mC",1000,5,0,5,0,0
"103596","Rapid-CNS",131265008,"5mC",800,5,0,4,0,0
"103596","Rapid-CNS",131265015,"5mC",800,5,0,4,0,1
"103596","Rapid-CNS",131265022,"5mC",1000,5,0,5,0,0
"103596","Rapid-CNS",131265024,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265026,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265042,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265048,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265058,"5mC",1000,4,25,3,1,0
"103596","Rapid-CNS",131265066,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265070,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265072,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265100,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265136,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265151,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265154,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265158,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265168,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265172,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265184,"5mC",750,4,0,3,0,0
"103596","Rapid-CNS",131265193,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265205,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265208,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265214,"5mC",750,4,0,3,0,0
"103596","Rapid-CNS",131265228,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265231,"5mC",1000,4,0,4,0,0
"103596","Rapid-CNS",131265236,"5mC",1000,4,0,4,0,0
